image_name,object_consistency,ssim,brightness_reduction,blue_shift,saturation_reduction,edge_preservation,lpips,issues
aachen_aachen_000000_000019_leftImg8bit.png,0.5,0.36753010564238897,66.69243955612183,0.819643497467041,-92.34394359588623,0.010840429821853823,0.5391518473625183,Structure_degraded; Details_lost
aachen_aachen_000001_000019_leftImg8bit.png,0.75,0.36988705866422367,64.41826057434082,1.143786907196045,-96.79778146743774,0.011253373141180672,0.5215834379196167,Structure_degraded; Details_lost
aachen_aachen_000002_000019_leftImg8bit.png,1.0,0.36755136983674846,52.750351905822754,2.2884521484375,-109.30820417404175,0.025574695749301674,0.4781506359577179,Structure_degraded; Details_lost
aachen_aachen_000003_000019_leftImg8bit.png,0.75,0.36181793886968855,63.262967586517334,1.0354180335998535,-89.2145094871521,0.020177598686662163,0.49772098660469055,Structure_degraded; Details_lost
aachen_aachen_000004_000019_leftImg8bit.png,0.2631578947368421,0.36149845986781787,67.99885511398315,0.7739014625549316,-91.79178714752197,0.008809876543208138,0.5054046511650085,Lost_objects; Structure_degraded; Details_lost
aachen_aachen_000005_000019_leftImg8bit.png,0.7,0.37807603683848223,62.80005884170532,1.034550666809082,-85.40208053588867,0.01353860436329616,0.4839824438095093,Structure_degraded; Details_lost
aachen_aachen_000006_000019_leftImg8bit.png,0.2,0.36937946960810664,55.45609140396118,0.5262165069580078,-96.29966831207275,0.020202020202008928,0.49012404680252075,Lost_objects; Structure_degraded; Details_lost
aachen_aachen_000007_000019_leftImg8bit.png,0.5,0.3490577414413187,61.47949838638306,1.7470006942749023,-98.38975811004639,0.010235110880364075,0.5845745801925659,Structure_degraded; Details_lost
aachen_aachen_000008_000019_leftImg8bit.png,0.8,0.34790236901064886,61.51425361633301,0.9209079742431641,-95.32824182510376,0.009664948453605134,0.5651258826255798,Structure_degraded; Details_lost
aachen_aachen_000009_000019_leftImg8bit.png,0.8571428571428571,0.37968411992272716,56.719594955444336,1.6870598793029785,-103.22376155853271,0.010469867211438017,0.5171400308609009,Structure_degraded; Details_lost
aachen_aachen_000010_000019_leftImg8bit.png,0.5,0.346315150312438,53.05205583572388,1.7386736869812012,-100.38354206085205,0.011142061281335033,0.48736506700515747,Structure_degraded; Details_lost
aachen_aachen_000011_000019_leftImg8bit.png,0.875,0.3637427999456383,53.48872709274292,2.092837333679199,-100.07889556884766,0.022954860576177356,0.4938865900039673,Structure_degraded; Details_lost
aachen_aachen_000012_000019_leftImg8bit.png,0.25,0.37223874628326675,53.44406318664551,1.437769889831543,-97.84292459487915,0.0415199146657996,0.43494468927383423,Lost_objects; Structure_degraded; Details_lost
aachen_aachen_000013_000019_leftImg8bit.png,0.8235294117647058,0.4006128891418356,57.44123363494873,-0.21851730346679688,-82.34480810165405,0.020814071484942877,0.5202879905700684,Structure_degraded; Details_lost; Wrong_color_temp
