metric,mean,std,min,max,median
object_consistency,0.9277769697923997,0.1329576322940772,0.0,1.0,1.0
object_visibility_improvement,1.5442233175572542,0.8508646772934336,0.0,14.0,1.3636363636363635
ssim,0.4016487265288688,0.03455335572524177,0.20820628952306858,0.5059517704693532,0.39997502140525754
brightness_increase,62.03545022054819,6.364838027794872,37.08100461959839,82.76274538040161,62.17605018615723
warm_shift,-0.7867443944490873,1.748968908932002,-8.813004493713379,5.734794616699219,-0.8334088325500488
saturation_increase,-75.29495943509616,18.31817899517144,-109.38008403778076,36.83977174758911,-79.07249116897583
edge_preservation,0.03487494532524859,0.014749919928737552,0.0018483434222069921,0.09975123506530964,0.033487492826508626
shadow_removal,0.0,0.0,0.0,0.0,0.0
overexposure_score,0.6671292955040002,0.12777475514619116,0.28784184894455433,0.9999933242797852,0.6693439968883224
lpips,0.5140011449777163,0.043342318478991164,0.3716307282447815,0.6875395178794861,0.5153552889823914
